model,policy,auc_mean,auc_std,brier_mean,brier_std,trade_rate_mean,trade_rate_std,hit_rate_mean,hit_rate_std,downstream_sharpe_mean,downstream_sharpe_std,downstream_sharpe_count,downstream_mdd_mean,downstream_mdd_std,downstream_total_return_mean,downstream_total_return_std,long_threshold_mean,long_threshold_std,short_threshold_mean,short_threshold_std
price_web,fine_sharpe_mdd_min05,0.5605326808740811,0.07455933093240832,0.2557040774026111,0.01247994889283528,0.2997898662067596,0.20812154926211224,0.4389761065969154,0.1657056496071692,-0.20069646797493212,1.5661628441159403,10,0.06779105980402597,0.06511362335273295,-0.012757671384644708,0.10585443886727515,0.568,0.05006662228138289,0.39299999999999996,0.10414199707877489
early_fusion,fine_sharpe_min02,0.5602269665315577,0.07750495751178534,0.258737391190223,0.016207327683661052,0.36033981879076044,0.25962837469574124,0.42055094283731737,0.20232045025528841,-0.258872049865064,2.1019026743379357,10,0.09543053911042187,0.08014992004818092,-0.014225786363614951,0.14340434996679166,0.625,0.10058164179743075,0.42300000000000004,0.07349225204816566
early_fusion,selective_sharpe_min01,0.5602269665315577,0.07750495751178534,0.258737391190223,0.016207327683661052,0.36033981879076044,0.25962837469574124,0.42055094283731737,0.20232045025528841,-0.258872049865064,2.1019026743379357,10,0.09543053911042187,0.08014992004818092,-0.014225786363614951,0.14340434996679166,0.625,0.10058164179743075,0.42300000000000004,0.07349225204816566
early_fusion,fine_sharpe_mdd_min02,0.5602269665315577,0.07750495751178534,0.258737391190223,0.016207327683661052,0.36033981879076044,0.25962837469574124,0.42055094283731737,0.20232045025528841,-0.258872049865064,2.1019026743379357,10,0.09543053911042187,0.08014992004818092,-0.014225786363614951,0.14340434996679166,0.625,0.10058164179743075,0.42300000000000004,0.07349225204816566
price_only,fine_sharpe_mdd_min02,0.571203096631409,0.07146355893846955,0.25351256320387355,0.007725652922154164,0.31086339061933843,0.25908742085999675,0.48562494292762537,0.08507192220244096,-0.32717761369282394,2.000129156614491,10,0.07234471078692636,0.05566998090841969,-0.007512265539966129,0.08841667709638035,0.548,0.0500666222813829,0.384,0.1169235267647667
price_only,fine_sharpe_min02,0.571203096631409,0.07146355893846955,0.25351256320387355,0.007725652922154164,0.31086339061933843,0.25908742085999675,0.48562494292762537,0.08507192220244096,-0.32717761369282394,2.000129156614491,10,0.07234471078692636,0.05566998090841969,-0.007512265539966129,0.08841667709638035,0.548,0.0500666222813829,0.384,0.1169235267647667
price_only,selective_sharpe_min01,0.571203096631409,0.07146355893846955,0.25351256320387355,0.007725652922154164,0.31086339061933843,0.25908742085999675,0.48562494292762537,0.08507192220244096,-0.32717761369282394,2.000129156614491,10,0.07234471078692636,0.05566998090841969,-0.007512265539966129,0.08841667709638035,0.548,0.0500666222813829,0.384,0.1169235267647667
early_fusion,fine_sharpe_mdd_min05,0.5602269665315577,0.07750495751178534,0.258737391190223,0.016207327683661052,0.3699675841652277,0.24785039423358443,0.41987809322829756,0.1745353389347317,-0.4720701443966682,2.0129169089761674,10,0.09984483542093994,0.07620758717558049,-0.022318720649023637,0.13916227270960962,0.623,0.100227518953407,0.426,0.075306779981029
timesnet_lite,fine_sharpe_min02,0.5913425917871185,0.06635533301725956,0.2524055929927228,0.008972107272596822,0.3238248562961683,0.2429908871158792,0.42481088248478516,0.1631372451094541,-0.5421461227323985,2.1486364384772174,10,0.09078612903009863,0.09914722992642948,-0.009790530267082032,0.20041956545313436,0.617,0.10176770935157513,0.384,0.12429355932182845
timesnet_lite,fine_sharpe_mdd_min02,0.5913425917871185,0.06635533301725956,0.2524055929927228,0.008972107272596822,0.3238248562961683,0.2429908871158792,0.42481088248478516,0.1631372451094541,-0.5421461227323985,2.1486364384772174,10,0.09078612903009863,0.09914722992642948,-0.009790530267082032,0.20041956545313436,0.617,0.10176770935157513,0.384,0.12429355932182845
timesnet_lite,selective_sharpe_min01,0.5913425917871185,0.06635533301725956,0.2524055929927228,0.008972107272596822,0.3238248562961683,0.2429908871158792,0.42481088248478516,0.1631372451094541,-0.5421461227323985,2.1486364384772174,10,0.09078612903009863,0.09914722992642948,-0.009790530267082032,0.20041956545313436,0.617,0.10176770935157513,0.384,0.12429355932182845
early_fusion,fine_return_sharpe_min02,0.5602269665315577,0.07750495751178534,0.258737391190223,0.016207327683661052,0.41080266742486204,0.29324366971121174,0.41389130423028087,0.1732174205116215,-0.7100351711604056,1.9654263776539338,10,0.11241123122061251,0.08231377645381512,-0.039662340058162215,0.1497173640676516,0.629,0.10503438590396111,0.43499999999999994,0.08086339647138802
price_only,fine_return_sharpe_min02,0.571203096631409,0.07146355893846955,0.25351256320387355,0.007725652922154164,0.4984643253047058,0.31352159843956023,0.4851791606028574,0.06896783780332309,-0.7250138367568191,1.9841659082629275,10,0.11718414585079835,0.08758967886908015,-0.0535821623047246,0.12311504648507016,0.54,0.04853406592853679,0.438,0.07627435858647241
price_only,fine_sharpe_mdd_min05,0.571203096631409,0.07146355893846955,0.25351256320387355,0.007725652922154164,0.48719465931386025,0.26877407134889747,0.4781915785409446,0.06559619844457111,-0.8520178995593914,1.9968348798988729,10,0.12983627685736993,0.08032357959697124,-0.05844803436373275,0.1266031931427088,0.541,0.04794672969962487,0.44799999999999995,0.06762642481555071
timesnet_lite,fine_sharpe_mdd_min05,0.5913425917871185,0.06635533301725956,0.2524055929927228,0.008972107272596822,0.3402586774849889,0.24312223492295398,0.41885822800164724,0.16402289311162233,-0.8951763154988296,2.242688241199946,10,0.1126327837493692,0.10811476034815375,-0.037811430933447826,0.21685051670461214,0.618,0.10217631819555842,0.421,0.1066093596057849
