model,cost_bps,sharpe_mean,sharpe_std,sharpe_count,mdd_mean,mdd_std,mdd_count,trade_rate_mean,trade_rate_std,trade_rate_count,hit_rate_mean,hit_rate_std,hit_rate_count,total_return_mean,total_return_std,total_return_count,n_trades_mean,n_trades_std,n_trades_count
multimodal_transformer,0.0,0.20904020814988988,2.256080861080892,2,0.22175290000180042,0.14261646633248168,2,0.28141135972461273,0.0028397862698254684,2,0.5318171237602773,0.05806388972532921,2,0.05085397007386985,0.3632285321151091,2,490.5,4.949747468305833,2
multimodal_transformer,5.0,-1.3260868884574502,2.379860819280706,2,0.2871930478620642,0.2076606429296943,2,0.28141135972461273,0.0028397862698254684,2,0.4849529050869157,0.05277039109737086,2,-0.19439602992613017,0.3607536583809562,2,490.5,4.949747468305833,2
multimodal_transformer,10.0,-2.84542031537884,2.4766969048823486,2,0.4156126758891663,0.1849754810985671,2,0.28141135972461273,0.0028397862698254684,2,0.44213726940950543,0.05320245345068,2,-0.4396460299261302,0.35827878464680335,2,490.5,4.949747468305833,2
multimodal_transformer,20.0,-5.7788588784902295,2.5818903666818422,2,0.6258016227577796,0.12087698509997019,2,0.28141135972461273,0.0028397862698254684,2,0.3575326920998595,0.052614613514204926,2,-0.9301460299261302,0.35332903717849745,2,490.5,4.949747468305833,2
patchtst,0.0,-0.9184617282514014,0.0752800813459815,2,0.296359383467076,0.03320149402489872,2,0.29259896729776247,0.04787068283420113,2,0.49346307171331816,0.00800189421892273,2,-0.1372257092721802,0.003490328127127869,2,510.0,83.43860018001261,2
patchtst,5.0,-2.6052156714919437,0.10803766980028243,2,0.37344784412199206,0.006052512986623502,2,0.29259896729776247,0.04787068283420113,2,0.4535264341299748,0.004830344547441966,2,-0.39222570927218037,0.03822897196287845,2,510.0,83.43860018001261,2
patchtst,10.0,-4.2614435755123115,0.29052199001319506,2,0.49824315616234294,0.03163236025202936,2,0.29259896729776247,0.04787068283420113,2,0.4133598837186646,0.004469377556161355,2,-0.6472257092721803,0.07994827205288478,2,510.0,83.43860018001261,2
patchtst,20.0,-7.413619024517148,0.6455953884587099,2,0.6905241693424409,0.05268579433672147,2,0.29259896729776247,0.04787068283420113,2,0.32350878150098006,0.012237056551734096,2,-1.1572257092721803,0.1633868722328974,2,510.0,83.43860018001261,2
price_only,0.0,1.2902110559524813,0.9509032572381736,2,0.1413311084356139,0.04696423351644371,2,0.31239242685025814,0.06044687917199972,2,0.5547588767057368,0.008234550492077167,2,0.16006987094208336,0.0925869370689563,2,544.5,105.35891039679558,2
price_only,5.0,-0.8242375211097495,0.1306084762380352,2,0.26557387047879877,0.00565731927672898,2,0.31239242685025814,0.06044687917199972,2,0.4819441102670745,0.0015458010959153174,2,-0.11218012905791672,0.03990748187055854,2,544.5,105.35891039679558,2
price_only,10.0,-2.9254449162898033,0.6851008536451687,2,0.37856753408021326,0.014560208270700562,2,0.31239242685025814,0.06044687917199972,2,0.4345632970130272,0.0022725220513849474,2,-0.3844301290579167,0.012771973327839307,2,544.5,105.35891039679558,2
price_only,20.0,-6.943221857953837,2.1875783455381996,2,0.6238902866430382,0.04357059638401314,2,0.31239242685025814,0.06044687917199972,2,0.31352043446877254,0.023004728573645453,2,-0.9289301290579167,0.11813088372463483,2,544.5,105.35891039679558,2
price_web,0.0,1.3532694517222448,1.0509693412098466,2,0.15220048174150497,0.06939488073058056,2,0.24039013195639702,0.03651153775489918,2,0.5369952056057532,0.015744632828374648,2,0.13859335329037903,0.09044760122485979,2,419.0,63.63961030678928,2
price_web,5.0,-0.5616880851088181,1.0230008178194545,2,0.22479299179816647,0.100106288120587,2,0.24039013195639702,0.03651153775489918,2,0.4852134427438687,0.009567390755958543,2,-0.07090664670962105,0.12226740637825441,2,419.0,63.63961030678928,2
price_web,10.0,-2.46771546245025,0.977010535278344,2,0.31428550378696607,0.12491859511765477,2,0.24039013195639702,0.03651153775489918,2,0.4436082426701088,0.011686233683172448,2,-0.280406646709621,0.15408721153164906,2,419.0,63.63961030678928,2
price_web,20.0,-6.106566705785393,0.8728912084790311,2,0.5130831756361598,0.11816056461964333,2,0.24039013195639702,0.03651153775489918,2,0.31560022127973447,0.007432249036996717,2,-0.6994066467096209,0.21772682183843825,2,419.0,63.63961030678928,2
tensor_fusion,0.0,0.21771253852416633,0.41575957225339677,2,0.17084456163099976,0.03537691918562649,2,0.3448078026391279,0.05030478535119439,2,0.5074477343384907,0.022264473626964175,2,0.03107671128107116,0.05880438689939069,2,601.0,87.68124086713189,2
tensor_fusion,5.0,-1.9305301584025714,0.7717660433412041,2,0.3132684546573565,0.03624934434760229,2,0.3448078026391279,0.05030478535119439,2,0.44672274504207277,0.04517202883309323,2,-0.2694232887189289,0.10264500733295662,2,601.0,87.68124086713189,2
tensor_fusion,10.0,-4.049528962424429,1.1132613005231402,2,0.46866340209714275,0.05813716412657079,2,0.3448078026391279,0.05030478535119439,2,0.40206851971557855,0.037480773146281086,2,-0.5699232887189288,0.14648562776652246,2,601.0,87.68124086713189,2
tensor_fusion,20.0,-8.084068921988248,1.7250482059005658,2,0.6977611616728989,0.060190676322407786,2,0.3448078026391279,0.05030478535119439,2,0.29223157794586363,0.014397112523088472,2,-1.170923288718929,0.2341668686336545,2,601.0,87.68124086713189,2
text_web_mlp,0.0,0.06397816411366714,1.2189306815387102,2,0.1533324682279673,0.1002319607507503,2,0.1769936890418818,0.0864106393532614,2,0.4959143504711917,0.01978009545368549,2,-0.01463608818817369,0.13964971227028397,2,308.5,150.61374439273462,2
text_web_mlp,5.0,-1.2176354322998122,1.4586032701746032,2,0.22797548349603453,0.14676764595794245,2,0.1769936890418818,0.0864106393532614,2,0.459376118334725,0.029446615449388487,2,-0.16888608818817372,0.2149565844666513,2,308.5,150.61374439273462,2
text_web_mlp,10.0,-2.484825698047095,1.6821390652496633,2,0.31038020096768376,0.18796422551316147,2,0.1769936890418818,0.0864106393532614,2,0.3970118096146964,0.019628265296684894,2,-0.3231360881881737,0.29026345666301856,2,308.5,150.61374439273462,2
text_web_mlp,20.0,-4.912392916250866,2.0884848362336523,2,0.46213950139518756,0.22103747397242055,2,0.1769936890418818,0.0864106393532614,2,0.3152391745198616,0.02325531904725413,2,-0.6316360881881737,0.4408772010557533,2,308.5,150.61374439273462,2
timesnet_lite,0.0,2.9564985247522526,3.6195707064705838,2,0.17373751598081122,0.15452426842757203,2,0.3958691910499139,0.1630848686385497,2,0.5816825377152576,0.0623446622537147,2,0.4641325305576784,0.5659199603061544,2,690.0,284.2569260369921,2
timesnet_lite,5.0,0.8172010531583644,4.500097031735755,2,0.27490502945506495,0.2291558929550284,2,0.3958691910499139,0.1630848686385497,2,0.5227496505615115,0.06471088684218049,2,0.11913253055767833,0.7080484233246506,2,690.0,284.2569260369921,2
timesnet_lite,10.0,-1.3287375372692058,5.329606146578073,2,0.3961485188776049,0.3023330301733996,2,0.3958691910499139,0.1630848686385497,2,0.47055077014177216,0.0575537877783023,2,-0.22586746944232167,0.8501768863431464,2,690.0,284.2569260369921,2
timesnet_lite,20.0,-5.544699263586426,6.791835223374378,2,0.5715420613475829,0.3678590650613277,2,0.3958691910499139,0.1630848686385497,2,0.35330813244923676,0.07586525007710906,2,-0.9158674694423217,1.1344338123801385,2,690.0,284.2569260369921,2
